area_type,availability,location,size,total_sqft,bath,balcony,price
Super built-up  Area,Ready To Move,Kaval Byrasandra,2 BHK,1200,2.0,1.0,49.5
Super built-up  Area,Ready To Move,Budigere,2 BHK,1139,2.0,2.0,56.85
Built-up  Area,Ready To Move,Basavangudi,1 Bedroom,600,1.0,0.0,97.5
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,1660,3.0,3.0,75.0
Super built-up  Area,Ready To Move,Jayanagar,2 BHK,1170,2.0,3.0,105.0
Super built-up  Area,Ready To Move,Somasundara Palya,2 BHK,1448,2.0,2.0,68.0
Super built-up  Area,18-May,Kadugodi,3 BHK,1762,3.0,3.0,110.0
Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,1105,2.0,1.0,38.65
Super built-up  Area,18-Mar,Yelahanka,3 BHK,1825,3.0,1.0,105.0
Super built-up  Area,19-Dec, Bhoganhalli,1 RK,296,1.0,0.0,22.89
Plot  Area,Ready To Move,Kumbalgodu,5 Bedroom,1200,4.0,1.0,85.0
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,1185,2.0,2.0,43.0
Built-up  Area,18-Aug,Electronic City Phase II,3 BHK,1320,2.0,1.0,38.12
Super built-up  Area,Ready To Move,Hulimavu,2 BHK,1058,2.0,1.0,48.0
Super built-up  Area,Ready To Move,Bellandur,2 BHK,1220,2.0,2.0,60.0
Super built-up  Area,18-Aug,Sarjapur,2 BHK,925,2.0,1.0,25.0
Super built-up  Area,18-May,Old Madras Road,2 BHK,1200,2.0,1.0,72.0
Super built-up  Area,Ready To Move,Kengeri,3 BHK,1160,2.0,2.0,40.6
Plot  Area,Ready To Move,Kengeri Satellite Town,3 Bedroom,600,4.0,3.0,72.0
Super built-up  Area,18-Jul,banashankari stage iii sa,3 BHK,1411,3.0,2.0,91.72
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,1550,3.0,2.0,78.0
Super built-up  Area,Ready To Move,Haralur Road,3 BHK,2475,4.0,2.0,130.0
Super built-up  Area,19-Dec,7th Phase JP Nagar,4 BHK,2503,4.0,0.0,188.0
Super built-up  Area,Ready To Move,Marathahalli,4 BHK,2524,5.0,2.0,190.0
Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,1063,2.0,2.0,42.0
Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,1077,2.0,1.0,37.7
Super built-up  Area,Ready To Move,Manayata Tech Park,2 BHK,1200,3.0,2.0,44.0
Built-up  Area,Ready To Move,Hosakerehalli,4 BHK,1500,3.0,2.0,70.0
Super built-up  Area,Ready To Move,Jalahalli,2 BHK,1045,2.0,2.0,76.77
Super built-up  Area,Ready To Move,Kanakapura,3 BHK,1290,2.0,3.0,45.15
Super built-up  Area,Ready To Move,Hoodi,2 BHK,1400,2.0,1.0,78.0
Built-up  Area,Ready To Move,Begur Road,3 BHK,1600,3.0,2.0,58.14
Super built-up  Area,Ready To Move,Nagavara,3 BHK,1545,2.0,1.0,58.0
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,1680,3.0,1.0,112.0
Built-up  Area,Ready To Move,Amruthnagar,2 BHK,1350,2.0,1.0,67.5
Super built-up  Area,Ready To Move,Gottigere,2 BHK,950,2.0,1.0,38.0
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,1050,2.0,2.0,45.0
Super built-up  Area,Ready To Move,Banashankari Stage V,3 BHK,1305,2.0,2.0,49.0
Plot  Area,Ready To Move,Hosakerehalli,4 Bedroom,800,4.0,2.0,120.0
Built-up  Area,18-Feb,Kodichikkanahalli,5 BHK,2700,7.0,2.0,125.0
Plot  Area,Ready To Move,MS Pallya,3 Bedroom,1100,3.0,1.0,78.0
Built-up  Area,Ready To Move,Thanisandra,6 Bedroom,3500,5.0,0.0,160.0
Super built-up  Area,19-Oct,Begur Road,3 BHK,1634,3.0,1.0,83.33
Super built-up  Area,Ready To Move,Prithvi Layout,2 BHK,1352,2.0,2.0,85.0
Super built-up  Area,17-Sep,Balagere,2 BHK,1145,2.0,2.0,65.0
Super built-up  Area,18-May,Alfa Garden Layout,2 BHK,1240,2.0,2.0,43.79
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,2200,3.0,2.0,190.0
Super built-up  Area,18-Mar,Bommasandra Industrial Area,2 BHK,1020,2.0,1.0,39.0
Super built-up  Area,18-Aug,Raja Rajeshwari Nagar,2 BHK,1168,2.0,1.0,61.0
Super built-up  Area,18-Jul,Electronic City Phase II,2 BHK,1205,2.0,1.0,75.0
Super built-up  Area,Ready To Move,Yeshwanthpur,2 BHK,1195,2.0,2.0,100.0
Built-up  Area,Ready To Move,CV Raman Nagar,2 BHK,1028,2.0,1.0,49.0
Super built-up  Area,Ready To Move,Akshya Nagar,2 BHK,1175,2.0,2.0,48.27
Super built-up  Area,Ready To Move,Pai Layout,3 BHK,1550,2.0,2.0,90.0
Super built-up  Area,Ready To Move,Yeshwanthpur,3 BHK,1826,3.0,2.0,165.0
Plot  Area,Ready To Move,Hoodi,5 Bedroom,2400,5.0,2.0,160.0
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,1603,3.0,2.0,96.0
Built-up  Area,Ready To Move,Marathahalli,3 BHK,1350,3.0,1.0,72.0
Built-up  Area,Ready To Move,KR Puram,1 BHK,714,1.0,1.0,28.0
Super built-up  Area,18-Nov,Whitefield,2 BHK,1215,2.0,3.0,65.0
Built-up  Area,Ready To Move,Malleshpalya,3 BHK,1405,2.0,2.0,77.0
Super built-up  Area,Ready To Move,KR Puram,2 BHK,1142,2.0,1.0,51.0
Built-up  Area,Ready To Move,Akshaya Vana,4 Bedroom,4000,4.0,3.0,170.0
Super built-up  Area,Ready To Move,Whitefield,3 BHK,1870,3.0,2.0,90.0
Super built-up  Area,Ready To Move,Subramanyapura,2 BHK,1313,2.0,2.0,73.0
Built-up  Area,Ready To Move,Hennur Gardens,3 BHK,1945,3.0,3.0,120.0
Super built-up  Area,17-Jul,Thanisandra,3 BHK,1573,3.0,2.0,95.0
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,1255,2.0,1.0,92.0
Super built-up  Area,Ready To Move,Benson Town,4 BHK,1400,3.0,2.0,91.15
Super built-up  Area,18-May,Kannamangala,2 BHK,1235,2.0,2.0,43.63
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,1380,2.0,1.0,52.0
Super built-up  Area,Ready To Move,Vittasandra,2 BHK,1238,2.0,1.0,67.0
Super built-up  Area,18-Oct,Chennammana Kere,3 BHK,1465,2.0,3.0,74.72
Super built-up  Area,Ready To Move,Thigalarapalya,2 BHK,1418,2.0,2.0,103.0
Super built-up  Area,Ready To Move,Victoria Layout,3 BHK,1650,3.0,1.0,165.0
Built-up  Area,Ready To Move, Anekal,1 RK,351,1.0,1.0,16.0
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,1279,2.0,2.0,48.0
Built-up  Area,Ready To Move,Kasavanhalli,3 Bedroom,1870,3.0,1.0,200.0
Plot  Area,Ready To Move,Mathikere,3 Bedroom,1550,2.0,1.0,150.0
Super built-up  Area,18-Aug,Uttarahalli,3 BHK,1845,2.0,1.0,68.27
Super built-up  Area,Ready To Move,Motappa Layout,3 BHK,1360,2.0,1.0,59.27
Built-up  Area,Ready To Move,Friends Colony,3 BHK,1150,2.0,1.0,75.0
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1260,2.0,2.0,49.5
Plot  Area,Ready To Move,Doddabidrakallu,3 Bedroom,1200,3.0,1.0,74.0
Built-up  Area,Ready To Move,Dasanapura,2 BHK,965,2.0,1.0,42.5
Built-up  Area,Ready To Move,Hoodi,3 BHK,1350,2.0,3.0,48.0
Super built-up  Area,18-Jul,Bhoganhalli,2 BHK,1447,2.0,1.0,75.97
Super built-up  Area,Ready To Move,Arehalli,3 BHK,1229,3.0,1.0,86.03
Super built-up  Area,Ready To Move,Kudlu,2 BHK,1027,2.0,2.0,43.0
Super built-up  Area,Ready To Move,Gottigere,2 BHK,1153,2.0,1.0,48.5
Super built-up  Area,18-Dec,Whitefield,4 BHK,2830 - 2882,5.0,0.0,145.5
Super built-up  Area,Ready To Move,Malleshpalya,2 BHK,1065,2.0,2.0,50.0
Built-up  Area,Ready To Move,Tala Cauvery Layout,2 BHK,1030,2.0,3.0,61.0
Super built-up  Area,Ready To Move,Mallasandra,2 BHK,1340,2.0,2.0,61.0
Super built-up  Area,Ready To Move,Marathahalli,4 BHK,4000,5.0,2.0,212.0
Built-up  Area,Ready To Move,Sri Balaji Krupa Layout,1 Bedroom,600,1.0,0.0,32.0
Super built-up  Area,Ready To Move,Begur Road,3 BHK,1410,2.0,3.0,44.42
Super built-up  Area,20-Dec,Varthur,2 BHK,1055,2.0,2.0,45.35
Super built-up  Area,18-May,Yelahanka,2 BHK,1304,2.0,1.0,79.0
Built-up  Area,Ready To Move,Kammasandra,2 BHK,990,2.0,1.0,31.5
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1035,2.0,1.0,39.33
Super built-up  Area,21-Jun,Tumkur Road,1 BHK,596 - 804,1.0,0.0,30.09
Super built-up  Area,Ready To Move,Sonnenahalli,2 BHK,1120,2.0,2.0,43.0
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,1300,2.0,2.0,73.0
Super built-up  Area,21-Jan,Tumkur Road,2 BHK,1239,2.0,1.0,82.0
Super built-up  Area,19-Dec,Sarjapur  Road,3 BHK,1403,3.0,3.0,51.63
Super built-up  Area,Ready To Move,Hosa Road,2 BHK,1365,2.0,1.0,92.0
Super built-up  Area,Ready To Move,8th block Koramangala,2 BHK,1165,2.0,1.0,135.0
Super built-up  Area,Ready To Move,Subramanyapura,3 BHK,1130,2.0,3.0,45.19
Super built-up  Area,Ready To Move,Green Glen Layout,3 BHK,1776.42,3.0,2.0,105.0
Plot  Area,Ready To Move,Vidyaranyapura,4 Bedroom,900,4.0,3.0,175.0
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,1194,2.0,2.0,47.0
Super built-up  Area,Ready To Move,Bidadi,2 BHK,1107,2.0,2.0,33.0
Super built-up  Area,Ready To Move,Nagavara,3 BHK,2319,3.0,2.0,180.0
Super built-up  Area,Ready To Move,Nallurhalli,3 BHK,1520,3.0,3.0,80.0
Super built-up  Area,19-Jul,Kannamangala,3 BHK,1536,3.0,1.0,89.0
Super built-up  Area,Ready To Move,Belathur,2 BHK,1050,2.0,1.0,38.0
Super built-up  Area,22-Jun,Hoodi,3 BHK,1850,3.0,2.0,146.0
Super built-up  Area,Ready To Move,Billekahalli,2 BHK,1112,2.0,2.0,62.0
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,1535,3.0,2.0,72.5
Built-up  Area,Ready To Move,Kanakpura Road,2 BHK,1050,2.0,1.0,35.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1250,3.0,2.0,65.0
Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,1187,2.0,3.0,52.0
Built-up  Area,Ready To Move,9th Phase JP Nagar,2 BHK,1164,2.0,1.0,56.0
Super built-up  Area,18-May,Electronic City Phase II,3 BHK,1395,2.0,1.0,62.78
Super built-up  Area,18-Jul,Arekere,3 BHK,2072,3.0,2.0,108.0
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,1450,3.0,3.0,60.91
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,1550,3.0,2.0,82.0
Super built-up  Area,Ready To Move,Sampige Layout,2 BHK,1315,2.0,2.0,90.0
Super built-up  Area,Ready To Move,Amruthnagar,2 BHK,1210,2.0,2.0,72.0
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,1075,2.0,1.0,47.0
Super built-up  Area,18-May,Virgonagar,3 BHK,1215,3.0,1.0,42.2
Built-up  Area,Ready To Move,Kaggadasapura,3 BHK,1470,2.0,2.0,75.0
Built-up  Area,Ready To Move,Hosur Road,3 BHK,1590,2.0,2.0,125.0
Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,1050,2.0,1.0,36.75
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,1306,2.0,1.0,55.91
Built-up  Area,Ready To Move,"Kudlu Village, ",3 BHK,1445,3.0,2.0,64.0
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,1220,3.0,2.0,58.0
Plot  Area,Ready To Move,Sarjapur,4 Bedroom,3190,3.0,1.0,160.0
Super built-up  Area,18-May,Ramagondanahalli,2 BHK,1215,2.0,1.0,51.26
Built-up  Area,Ready To Move,Budigere,3 BHK,1920,2.0,1.0,88.0
Super built-up  Area,Ready To Move,Dodda Nekkundi,2 BHK,1390,2.0,2.0,60.0
Plot  Area,Ready To Move,Battarahalli,3 Bedroom,800,2.0,1.0,75.0
Plot  Area,Ready To Move,Nagarbhavi,3 Bedroom,600,3.0,2.0,100.0
Super built-up  Area,21-Jul,Hoodi,2 BHK,1196,2.0,0.0,71.74
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,1550,2.0,2.0,75.0
Super built-up  Area,Ready To Move,Thigalarapalya,2 BHK,1418,2.0,2.0,101.0
Super built-up  Area,19-Mar,Varthur Road,3 BHK,1655,3.0,2.0,115.0
Built-up  Area,Ready To Move,KR Puram,2 BHK,1115,2.0,2.0,33.45
Super built-up  Area,Ready To Move,Rajiv Gandhi Nagar,2 BHK,1170,2.0,2.0,68.0
Super built-up  Area,Ready To Move,Anekal,2 BHK,1035,2.0,2.0,38.3
Super built-up  Area,Ready To Move,Singasandra,3 BHK,1306,2.0,2.0,58.0
Super built-up  Area,18-Dec,Kengeri,2 BHK,750,2.0,2.0,22.0
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,1917,3.0,3.0,122.0
Super built-up  Area,Ready To Move,Kaggadasapura,3 BHK,1615,3.0,3.0,58.0
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,1071,2.0,2.0,52.25
Super built-up  Area,Ready To Move,Koramangala,2 BHK,1325,2.0,2.0,119.0
Super built-up  Area,Ready To Move,5th Phase JP Nagar,3 BHK,1400,2.0,1.0,88.0
Super built-up  Area,21-Jan,Tumkur Road,2 BHK,1246,2.0,1.0,82.0
Built-up  Area,Ready To Move,Sarjapur,2 BHK,1215,2.0,0.0,40.0
Super built-up  Area,Ready To Move,Munnekollal,2 BHK,1200,2.0,2.0,49.5
Plot  Area,Ready To Move,Kurubarahalli,4 Bedroom,450,3.0,1.0,53.0
Super built-up  Area,Ready To Move,Kodigehaali,2 BHK,1200,2.0,2.0,60.0
Built-up  Area,Ready To Move,Kaval Byrasandra,2 BHK,945,2.0,2.0,50.0
Super built-up  Area,Ready To Move,Hormavu,2 BHK,1175,2.0,1.0,52.0
Super built-up  Area,Ready To Move,Whitefield,2 BHK,920,2.0,1.0,63.0
Plot  Area,Ready To Move,Bidadi,2 Bedroom,1600,2.0,2.0,110.0
Plot  Area,Ready To Move,Sanjay nagar,4 Bedroom,750,2.0,0.0,110.0
Built-up  Area,Ready To Move,Bhagyalakshmi Avenue,2 BHK,955,1.0,2.0,34.01
Super built-up  Area,Ready To Move,Ardendale,3 BHK,1750,3.0,3.0,100.0
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,1425,2.0,2.0,64.0
Super built-up  Area,20-Dec,Whitefield,2 BHK,1165,2.0,1.0,40.5
Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,1050,2.0,2.0,48.0
Super built-up  Area,Ready To Move,Cholanayakanahalli,3 BHK,1370,2.0,2.0,75.0
Super built-up  Area,18-Apr,Electronic City,3 BHK,1374,2.0,1.0,72.0
Super built-up  Area,Ready To Move,Harlur,3 BHK,1754,3.0,2.0,124.0
Super built-up  Area,Ready To Move,Kothanur,3 BHK,1847,3.0,2.0,110.0
Super built-up  Area,Ready To Move,Ambedkar Nagar,3 BHK,1850,4.0,3.0,139.0
Plot  Area,18-May,Chikka Tirupathi,3 Bedroom,3297,3.0,1.0,135.0
Super built-up  Area,Ready To Move,Doddakannelli,2 BHK,1187,2.0,2.0,45.0
Built-up  Area,18-Dec,Bommasandra Industrial Area,3 BHK,1400,2.0,1.0,40.44
Plot  Area,Ready To Move,Kengeri Hobli,3 Bedroom,600,2.0,0.0,30.0
Super built-up  Area,Ready To Move,Chamrajpet,2 BHK,1350,2.0,3.0,180.0
Plot  Area,Ready To Move,Doddaballapur,3 Bedroom,3000,2.0,2.0,120.0
Super built-up  Area,21-Dec,Thanisandra,1 BHK,693,1.0,1.0,34.3
Super built-up  Area,21-May,Dairy Circle,3 BHK,1980,3.0,2.0,224.0
Super built-up  Area,Ready To Move,KR Puram,2 BHK,1021,2.0,1.0,48.0
Super built-up  Area,Ready To Move,Thigalarapalya,2 BHK,1165,2.0,2.0,95.0
Super built-up  Area,19-Mar,Horamavu Agara,3 BHK,1756,3.0,2.0,92.0
Super built-up  Area,Ready To Move,Bharathi Nagar,3 BHK,1739,3.0,1.0,105.0
Super built-up  Area,Ready To Move,Varthur,2 BHK,1280,2.0,2.0,65.0
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,1215,2.0,2.0,58.86
Super built-up  Area,18-Apr,Munnekollal,2 BHK,950,2.0,1.0,46.5
Built-up  Area,Ready To Move,Kengeri,3 BHK,1082,2.0,1.0,49.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1050,2.0,1.0,42.0
Super built-up  Area,Ready To Move,Devanahalli,2 BHK,1080,2.0,0.0,53.35
Super built-up  Area,Ready To Move,Arekere,2 BHK,1100,2.0,2.0,55.0
Plot  Area,Ready To Move,Ardendale,4 Bedroom,3200,4.0,1.0,205.0
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,1311,2.0,1.0,78.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,1608,3.0,1.0,67.98
Super built-up  Area,Ready To Move,Begur Road,2 BHK,1160,2.0,2.0,36.0
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1170,2.0,1.0,71.0
Super built-up  Area,Ready To Move,Kengeri,2 BHK,1155,2.0,2.0,40.6
Super built-up  Area,18-Dec,Hebbal,3 BHK,1255,2.0,1.0,77.68
Super built-up  Area,Ready To Move,Rayasandra,2 BHK,1065,2.0,2.0,44.95
Super built-up  Area,Ready To Move,Neeladri Nagar,1 BHK,674,1.0,1.0,21.0
Super built-up  Area,Ready To Move,Ambedkar Nagar,3 BHK,1936,4.0,2.0,126.0
Super built-up  Area,Ready To Move,Abbaiah Reddy Layout,2 BHK,1100,2.0,1.0,38.45
Super built-up  Area,Ready To Move,Ramagondanahalli,3 BHK,2257,4.0,2.0,157.0
Super built-up  Area,Ready To Move,Nagarbhavi,2 BHK,1055,2.0,2.0,55.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,1530,3.0,3.0,51.87
Super built-up  Area,Ready To Move,Dinnur,3 BHK,1700,3.0,1.0,97.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,1575,2.0,2.0,78.0
Super built-up  Area,Ready To Move,Rajiv Nagar,2 BHK,1263,2.0,1.0,93.32
Super built-up  Area,Ready To Move,KR Puram,3 BHK,1255 - 1863,3.0,0.0,69.315
Super built-up  Area,Ready To Move,Kengeri Satellite Town,2 BHK,1043,2.0,2.0,65.0
Super built-up  Area,Ready To Move,Hennur,2 BHK,1255,2.0,2.0,53.5
Super built-up  Area,18-Mar,JP Nagar,2 BHK,1300 - 1405,2.0,0.0,93.865
Super built-up  Area,18-Dec,Chandapura,1 BHK,590,1.0,0.0,13.57
Plot  Area,Ready To Move,Yelahanka,3 Bedroom,1550,3.0,1.0,120.0
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,1220,3.0,3.0,56.0
Super built-up  Area,Ready To Move,Rustam Bagh Layout,3 BHK,1900,3.0,3.0,160.0
Super built-up  Area,Ready To Move,Vasantha Vallabha Nagar,3 BHK,1360,3.0,3.0,55.0
Built-up  Area,Ready To Move,Vyalikaval,2 BHK,1100,2.0,1.0,75.0
Super built-up  Area,20-Mar,8th Phase JP Nagar,3 BHK,1455,3.0,2.0,73.31
Built-up  Area,Ready To Move,KR Puram,2 BHK,1035,2.0,1.0,40.5
Super built-up  Area,Ready To Move,Harlur,2 BHK,1152,2.0,2.0,69.0
Super built-up  Area,Ready To Move,Bellandur,2 BHK,1299,2.0,2.0,82.0
Super built-up  Area,18-Nov,Sarjapur  Road,3 BHK,1157,2.0,1.0,75.0
Super built-up  Area,Ready To Move,Rachenahalli,2 BHK,1050,2.0,2.0,52.5
Super built-up  Area,Ready To Move,Pai Layout,2 BHK,1050,2.0,2.0,40.0
Super built-up  Area,Ready To Move,Vittasandra,2 BHK,1246,2.0,1.0,67.4
Built-up  Area,Ready To Move,"Sarjapur Road, ",3 BHK,1929,3.0,2.0,115.0
Super built-up  Area,Ready To Move,Hennur,2 BHK,1285,2.0,1.0,60.0
Plot  Area,Ready To Move,Margondanahalli,3 Bedroom,1200,2.0,0.0,65.0
Built-up  Area,Ready To Move,"Banaswadi, ",4 BHK,3161,4.0,3.0,214.0
Built-up  Area,Ready To Move,BTM 2nd Stage,3 BHK,1850,3.0,2.0,170.0
Built-up  Area,Ready To Move,Sompura,3 BHK,1025,2.0,0.0,37.0
Built-up  Area,Ready To Move,Malleshwaram,2 BHK,1124,3.0,2.0,80.0
Super built-up  Area,19-Dec,Balagere,2 BHK,1012,2.0,1.0,54.59
Super built-up  Area,Ready To Move,8th Phase JP Nagar,2 BHK,871,2.0,2.0,55.0
Built-up  Area,Ready To Move,Chinnapanahalli,2 BHK,1020,2.0,2.0,40.0
Super built-up  Area,Ready To Move,Rachenahalli,3 BHK,1550,3.0,3.0,73.5
Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,1410,2.0,2.0,80.0
Plot  Area,18-Dec,Chikka Tirupathi,4 Bedroom,3500,5.0,3.0,150.0
Super built-up  Area,18-Apr,Whitefield,2 BHK,1118,2.0,1.0,75.0
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,1098,2.0,1.0,68.0
Super built-up  Area,Ready To Move,Kanakapura,2 BHK,1130,2.0,1.0,45.2
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,1145,2.0,2.0,75.0
Plot  Area,Ready To Move,Kadugodi,3 Bedroom,950,3.0,1.0,80.0
Super built-up  Area,Ready To Move,Balaji Gardens Layout,2 BHK,1051,2.0,1.0,33.0
Plot  Area,Ready To Move,Thavarekere,7 Bedroom,600,7.0,2.0,108.0
Super built-up  Area,18-Apr,Marathahalli,2 BHK,1102,2.0,2.0,53.67
Super built-up  Area,Ready To Move,Jalahalli,2 BHK,1478,2.0,2.0,125.0
Super built-up  Area,18-Aug,Chandapura,1 BHK,645,1.0,1.0,16.45
Carpet  Area,18-Dec,Hebbal,2 BHK,823,2.0,1.0,50.63
Super built-up  Area,21-Dec,Abbigere,2 BHK,880,2.0,1.0,35.0
Built-up  Area,Ready To Move,KR Puram,4 Bedroom,600,5.0,2.0,75.0
Super built-up  Area,Ready To Move,Budigere,3 BHK,1991,4.0,2.0,100.0
Built-up  Area,Ready To Move,TC Palaya,3 BHK,1100,3.0,1.0,50.0
Super built-up  Area,Ready To Move,Gubbalala,3 BHK,1745,3.0,2.0,115.0
Built-up  Area,17-Sep,HAL 2nd Stage,2 BHK,1226,3.0,1.0,135.0
Plot  Area,Ready To Move,Begur Road,3 Bedroom,680,4.0,1.0,68.0
Super built-up  Area,Ready To Move, Devarabeesana Halli,2 BHK,1100,2.0,1.0,70.0
Plot  Area,Ready To Move,Banashankari Stage VI,4 Bedroom,1200,4.0,3.0,195.0
Super built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,1450,2.0,1.0,58.0
Super built-up  Area,Ready To Move,Singasandra,4 BHK,3366,4.0,2.0,120.0
Built-up  Area,Ready To Move,Sahakara Nagar,2 BHK,1150,2.0,1.0,54.0
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,1843,3.0,2.0,95.84
Plot  Area,Ready To Move,Banashankari Stage VI,4 Bedroom,2200,4.0,2.0,195.0
Built-up  Area,Ready To Move,Bommanahalli,2 BHK,1090,3.0,2.0,44.0
Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,1132,2.0,2.0,42.0
Super built-up  Area,Ready To Move,Hulimavu,2 BHK,1375,2.0,2.0,80.0
Plot  Area,Ready To Move,7th Phase JP Nagar,4 Bedroom,1500,5.0,3.0,220.0
Super built-up  Area,Ready To Move,Thanisandra,1 BHK,760,1.0,2.0,50.3
Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,1180,2.0,2.0,65.0
Super built-up  Area,Ready To Move,Jigani,2 BHK,918,2.0,2.0,45.0
Plot  Area,Ready To Move,Rachenahalli,5 Bedroom,600,5.0,2.0,50.0
Built-up  Area,Ready To Move,Margondanahalli,2 Bedroom,1200,1.0,0.0,53.0
Super built-up  Area,Ready To Move,HSR Layout,2 BHK,1372,2.0,1.0,61.0
Super built-up  Area,Ready To Move,Ardendale,3 BHK,1728,3.0,2.0,95.0
Super built-up  Area,Ready To Move,BTM 2nd Stage,2 BHK,1200,2.0,2.0,80.0
Super built-up  Area,Ready To Move,6th Phase JP Nagar,2 BHK,1280,2.0,2.0,56.0
Plot  Area,Ready To Move,Hulimavu,4 Bedroom,800,4.0,2.0,110.0
Super built-up  Area,Ready To Move,Byrasandra,3 BHK,1455,2.0,2.0,56.0
Super built-up  Area,20-Aug, Rachenahalli,1 RK,440,1.0,0.0,28.0
Plot  Area,Ready To Move,Kanakpura Road,3 Bedroom,1500,3.0,2.0,97.0
Super built-up  Area,Ready To Move,Whitefield,3 BHK,1800,3.0,2.0,110.0
Super built-up  Area,Ready To Move,Mysore Road,3 BHK,1525,3.0,2.0,96.0
Super built-up  Area,Ready To Move,Rachenahalli,2 BHK,1204,2.0,3.0,38.5
Super built-up  Area,19-Dec,Old Madras Road,2 BHK,1225,2.0,1.0,53.55
Built-up  Area,Ready To Move,Kalyan nagar,6 Bedroom,800,6.0,3.0,98.0
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,1650,3.0,2.0,122.0
Built-up  Area,Ready To Move,Electronic City,3 BHK,880,2.0,1.0,18.0
Plot  Area,Ready To Move,Tippenahalli,2 Bedroom,1200,2.0,0.0,55.0
Super built-up  Area,Ready To Move,9th Phase JP Nagar,2 BHK,1005,2.0,1.0,42.0
Super built-up  Area,20-Dec,Whitefield,3 BHK,1562,3.0,2.0,103.0
Plot  Area,Ready To Move,Babusapalaya,6 Bedroom,810,5.0,2.0,95.0
Super built-up  Area,Ready To Move,Ramamurthy Nagar,2 BHK,1200,2.0,3.0,42.0
Super built-up  Area,Ready To Move,Kasavanhalli,3 BHK,1555,3.0,2.0,82.5
Plot  Area,Ready To Move,KR Puram,2 Bedroom,1550,2.0,1.0,71.0
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1190,2.0,2.0,67.0
Built-up  Area,Ready To Move,Chikkalasandra,2 BHK,1070,2.0,2.0,50.0
Plot  Area,Immediate Possession,Sarjapur  Road,2 BHK,1200 - 2400,2.0,2.0,28.785
Super built-up  Area,Ready To Move,Jalahalli East,2 BHK,1020,2.0,1.0,42.48
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,1610,3.0,1.0,115.0
Super built-up  Area,Ready To Move,Prestige Sunrise,1 BHK,700,1.0,1.0,41.0
Super built-up  Area,Ready To Move,Akshaya Vana,3 BHK,1300,2.0,1.0,49.0
Super built-up  Area,Ready To Move,Hebbal,2 BHK,1420,2.0,1.0,123.0
Plot  Area,Ready To Move,Vidyaranyapura,9 Bedroom,1200,9.0,2.0,100.0
Carpet  Area,18-Dec,Hebbal,3 BHK,1069,3.0,2.0,65.4
